Ticket Type, Issue Type, Category, Sub Category, Issue, Priority, L0 Response Time, L0 ResoultionTime, L0 Assignee,L1 Response Time, L1 ResoultionTime, L1 Assignee,L2 Response Time, L2 ResoultionTime, L2 Assignee,L3 Response Time, L3 ResoultionTime, L3 Assignee,L4 Response Time, L4 ResoultionTime, L4 Assignee,L5 Response Time, L5 ResoultionTime, L5 Assignee, Status, Client Escalation, Tenant Escalation
Proactive,Observation,Bagmane One Software,Mobile App,Not able to login,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Insurance,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,New Development,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Daily Tasks,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Asset Management,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Work Permit,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Incident,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Filenote,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Transition,Minor Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Insurance,Functionality not working,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Site Module,Functionality not working,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
